label,total_return,annual_return,annual_vol,sharpe_ratio,max_drawdown,num_trades,trading_days
In-Sample (Train),-0.05524663510477179,-0.011942798522779574,0.005074557273726116,-2.353466101292081,-0.05941820599275998,41,1192
Out-of-Sample (Test),-0.10460573632809822,-0.03271891611591582,0.0058047362185344835,-5.636589654400581,-0.05669690255191346,28,837
